Food Name,Protein (g),Category,Protein_Cluster,Protein_Level
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 6, upperchoice",23.5,Beef Products,0,Medium
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 7, upperchoice",22.7,Beef Products,0,Medium
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 15, lowerchoice",23.7,Beef Products,0,Medium
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 20, lowerchoice",23.2,Beef Products,0,Medium
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 21, lowerchoice",23.9,Beef Products,0,Medium
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 26, lowerchoice",22.9,Beef Products,0,Medium
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 27, lowerchoice",22.0,Beef Products,0,Medium
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 33, lowerchoice",22.7,Beef Products,0,Medium
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 34, lowerchoice",22.6,Beef Products,0,Medium
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 4, lowerchoice",22.4,Beef Products,0,Medium
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 8, lowerchoice",23.4,Beef Products,0,Medium
"Proximates, Beef, Boneless Top Loin steak, lean only, raw, animal 9, lowerchoice",23.3,Beef Products,0,Medium
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",22.8,Beef Products,0,Medium
"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 5, select",25.6,Beef Products,0,Medium
"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 18, select",28.9,Beef Products,0,Medium
"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 22, select",27.8,Beef Products,0,Medium
"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 23, select",27.0,Beef Products,0,Medium
"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 28, select",27.8,Beef Products,0,Medium
"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 29, select",27.8,Beef Products,0,Medium
"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 35, select",26.5,Beef Products,0,Medium
"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 10, select",29.1,Beef Products,0,Medium
