Food Name,Protein (g),Category,Protein_Cluster,Protein_Level
"Beans, Dry, Black, 266 (0% moisture)",25.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 550 (0% moisture)",25.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 288 (0% moisture)",24.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 572 (0% moisture)",25.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 301 (0% moisture)",25.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 575 (0% moisture)",26.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 259 (0% moisture)",24.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 610 (0% moisture)",26.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 395 (0% moisture)",22.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 258 (0% moisture)",22.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 707 (0% moisture)",23.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 562 (0% moisture)",22.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 227 (0% moisture)",22.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 620 (0% moisture)",24.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 214 (0% moisture)",23.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 547 (0% moisture)",25.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 263 (0% moisture)",25.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 570 (0% moisture)",26.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 251 (0% moisture)",24.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 592 (0% moisture)",26.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 238 (0% moisture)",26.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 528 (0% moisture)",25.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 273 (0% moisture)",25.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 529 (0% moisture)",24.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 472 (0% moisture)",25.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 753 (0% moisture)",25.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 286 (0% moisture)",23.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 596 (0% moisture)",24.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 297 (0% moisture)",23.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 600 (0% moisture)",24.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 317 (0% moisture)",21.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 625 (0% moisture)",22.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 291 (0% moisture)",25.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Black, 574 (0% moisture)",25.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Black (0% moisture)",24.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Small White, 11F-8057 (0% moisture)",25.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Small White, 11F-8160 (0% moisture)",26.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Small White, 239 (0% moisture)",24.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Small White, 571 (0% moisture)",25.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Small White, 272 (0% moisture)",26.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Small White, 618 (0% moisture)",25.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Small White, 265 (0% moisture)",21.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Small White, 527 (0% moisture)",22.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Small White, 309 (0% moisture)",25.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Small White, 549 (0% moisture)",24.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Small White, 285 (0% moisture)",23.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Small White, 544 (0% moisture)",23.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Small White, 275 (0% moisture)",23.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Small White, 564 (0% moisture)",23.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Small White (0% moisture)",24.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Red, 345 (0% moisture)",21.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Red, 645 (0% moisture)",21.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Red (0% moisture)",21.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 11F-8063 (0% moisture)",24.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 11F-8128 (0% moisture)",23.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 11F-8163 (0% moisture)",24.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 11F-8163 (0% moisture)",24.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 11F-8087 (0% moisture)",26.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 11F-8145 (0% moisture)",26.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 11F-8025 (0% moisture)",26.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 11F-8141 (0% moisture)",26.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 11F-8097 (0% moisture)",23.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 11F-8194 (0% moisture)",23.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 11F-8053 (0% moisture)",23.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 11F-8155 (0% moisture)",24.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 11F-8052 (0% moisture)",24.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 11F-8134 (0% moisture)",25.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 11F-8051 (0% moisture)",24.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 11F-8113 (0% moisture)",24.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 11F-8093 (0% moisture)",24.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 11F-8110 (0% moisture)",24.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 11F-8060 (0% moisture)",25.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 11F-8184 (0% moisture)",23.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 11F-8090 (0% moisture)",23.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 11F-8152 (0% moisture)",23.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 11F-8085 (0% moisture)",24.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 11F-8192 (0% moisture)",23.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 11F-8010 (0% moisture)",23.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 11F-8185 (0% moisture)",24.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 11F-8068 (0% moisture)",24.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 11F-8172 (0% moisture)",23.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 11F-8067 (0% moisture)",24.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 11F-8125 (0% moisture)",25.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 11F-8008 (0% moisture)",23.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 11F-8171 (0% moisture)",24.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 11F-8092 (0% moisture)",24.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 11F-8138 (0% moisture)",24.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 11F-8077 (0% moisture)",25.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 11F-8139 (0% moisture)",26.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 441 (0% moisture)",25.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 648 (0% moisture)",24.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 446 (0% moisture)",31.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 726 (0% moisture)",28.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 235 (0% moisture)",28.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 579 (0% moisture)",30.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 306 (0% moisture)",26.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 594 (0% moisture)",28.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 423 (0% moisture)",23.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 651 (0% moisture)",22.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 315 (0% moisture)",28.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 581 (0% moisture)",29.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 396 (0% moisture)",21.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 778 (0% moisture)",22.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 406 (0% moisture)",25.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 688 (0% moisture)",25.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 384 (0% moisture)",22.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 644 (0% moisture)",21.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 380 (0% moisture)",23.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 748 (0% moisture)",24.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 392 (0% moisture)",23.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 658 (0% moisture)",23.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 363 (0% moisture)",23.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 792 (0% moisture)",23.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 339 (0% moisture)",22.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 713 (0% moisture)",23.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 346 (0% moisture)",22.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 780 (0% moisture)",26.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 460 (0% moisture)",23.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 672 (0% moisture)",22.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 385 (0% moisture)",23.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 788 (0% moisture)",22.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 429 (0% moisture)",24.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 789 (0% moisture)",24.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 514 (0% moisture)",23.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 730 (0% moisture)",23.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 501 (0% moisture)",24.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 638 (0% moisture)",24.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 474 (0% moisture)",24.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 790 (0% moisture)",26.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 402 (0% moisture)",24.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 822 (0% moisture)",26.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 350 (0% moisture)",26.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 828 (0% moisture)",28.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 375 (0% moisture)",24.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 662 (0% moisture)",24.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 337 (0% moisture)",22.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 656 (0% moisture)",21.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 467 (0% moisture)",22.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 824 (0% moisture)",24.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 507 (0% moisture)",25.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 826 (0% moisture)",27.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 327 (0% moisture)",23.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 675 (0% moisture)",24.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 401 (0% moisture)",23.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 742 (0% moisture)",24.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 518 (0% moisture)",25.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 666 (0% moisture)",22.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 457 (0% moisture)",24.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 818 (0% moisture)",26.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 293 (0% moisture)",23.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 412 (0% moisture)",22.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 616 (0% moisture)",25.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 689 (0% moisture)",23.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 387 (0% moisture)",23.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 766 (0% moisture)",24.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 519 (0% moisture)",25.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 768 (0% moisture)",24.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 418 (0% moisture)",25.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 637 (0% moisture)",24.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 495 (0% moisture)",26.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 680 (0% moisture)",25.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 335 (0% moisture)",23.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 763 (0% moisture)",25.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 364 (0% moisture)",23.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 683 (0% moisture)",24.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 379 (0% moisture)",23.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 655 (0% moisture)",23.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 434 (0% moisture)",25.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 716 (0% moisture)",25.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 341 (0% moisture)",23.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 697 (0% moisture)",27.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 438 (0% moisture)",24.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 706 (0% moisture)",25.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 449 (0% moisture)",21.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 741 (0% moisture)",23.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 407 (0% moisture)",23.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 723 (0% moisture)",24.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 447 (0% moisture)",25.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 827 (0% moisture)",28.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 458 (0% moisture)",26.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 693 (0% moisture)",24.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 415 (0% moisture)",25.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 762 (0% moisture)",26.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 453 (0% moisture)",25.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 777 (0% moisture)",25.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 485 (0% moisture)",25.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 800 (0% moisture)",25.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 444 (0% moisture)",23.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern, 694 (0% moisture)",26.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern (0% moisture)",24.7,Legumes and Legume Products,0,Medium
"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",27.7,Beef Products,0,Medium
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",22.8,Beef Products,0,Medium
"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",23.4,Beef Products,0,Medium
"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",23.7,Beef Products,0,Medium
"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",22.7,Beef Products,0,Medium
"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",27.3,Beef Products,0,Medium
"Carrots, frozen, unprepared",0.81,Vegetables and Vegetable Products,1,Low
"Cheese, dry white, queso seco",24.5,Dairy and Egg Products,0,Medium
"Cheese, ricotta, whole milk",7.81,Dairy and Egg Products,1,Low
"Cheese, swiss",27.0,Dairy and Egg Products,0,Medium
"Figs, dried, uncooked",3.3,Fruits and Fruit Juices,1,Low
"Lettuce, cos or romaine, raw",1.24,Vegetables and Vegetable Products,1,Low
"Melons, cantaloupe, raw",0.82,Fruits and Fruit Juices,1,Low
"Oranges, raw, navels",0.91,Fruits and Fruit Juices,1,Low
"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",3.38,Dairy and Egg Products,1,Low
"Pears, raw, bartlett",0.38,Fruits and Fruit Juices,1,Low
"Restaurant, Chinese, sweet and sour pork",8.88,Restaurant Foods,1,Low
"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",3.43,Dairy and Egg Products,1,Low
"Sauce, salsa, ready-to-serve",1.44,"Soups, Sauces, and Gravies",1,Low
"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",3.36,Dairy and Egg Products,1,Low
"Sausage, breakfast sausage, beef, pre-cooked, unprepared",13.3,Sausages and Luncheon Meats,1,Low
"Sausage, Italian, pork, mild, cooked, pan-fried",18.2,Sausages and Luncheon Meats,0,Medium
"Sausage, pork, chorizo, link or ground, cooked, pan-fried",19.3,Sausages and Luncheon Meats,0,Medium
"Milk, whole, 3.25% milkfat, with added vitamin D",3.27,Dairy and Egg Products,1,Low
"Sausage, turkey, breakfast links, mild, raw",16.7,Sausages and Luncheon Meats,0,Medium
"Sugars, granulated",0.0,Sweets,1,Low
"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",27.1,Poultry Products,0,Medium
"Ham, sliced, restaurant",19.6,Pork Products,0,Medium
"Cheese, American, restaurant",17.5,Dairy and Egg Products,0,Medium
"Beans, Dry, Medium Red (0% moisture)",25.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Red (0% moisture)",21.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Flor de Mayo (0% moisture)",23.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Brown (0% moisture)",25.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Tan (0% moisture)",26.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Light Tan (0% moisture)",24.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Carioca (0% moisture)",25.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Cranberry (0% moisture)",24.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Light Red Kidney (0% moisture)",25.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink (0% moisture)",23.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Dark Red Kidney (0% moisture)",25.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy (0% moisture)",24.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Small White (0% moisture)",24.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Small Red (0% moisture)",23.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Black (0% moisture)",24.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto (0% moisture)",23.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Great Northern (0% moisture)",24.7,Legumes and Legume Products,0,Medium
"Broccoli, raw",2.57,Vegetables and Vegetable Products,1,Low
"Strawberries, raw",0.64,Fruits and Fruit Juices,1,Low
"Ketchup, restaurant",1.11,Vegetables and Vegetable Products,1,Low
"Eggs, Grade A, Large, egg white",10.7,Dairy and Egg Products,1,Low
"Eggs, Grade A, Large, egg yolk",16.2,Dairy and Egg Products,0,Medium
"Eggs, Grade A, Large, egg whole",12.4,Dairy and Egg Products,1,Low
"Pork, cured, bacon, cooked, restaurant",40.9,Pork Products,0,Medium
"Flour, wheat, all-purpose, enriched, bleached",10.9,Cereal Grains and Pasta,1,Low
"Flour, wheat, all-purpose, enriched, unbleached",13.1,Cereal Grains and Pasta,1,Low
"Flour, wheat, all-purpose, unenriched, unbleached",12.0,Cereal Grains and Pasta,1,Low
"Flour, whole wheat, unenriched",15.1,Cereal Grains and Pasta,0,Medium
"Flour, bread, white, enriched, unbleached",14.3,Cereal Grains and Pasta,0,Medium
"Flour, rice, white, unenriched",6.94,Cereal Grains and Pasta,1,Low
"Flour, corn, yellow, fine meal, enriched",6.2,Cereal Grains and Pasta,1,Low
"ONIONS, RED",1.12,Vegetables and Vegetable Products,1,Low
"ONIONS, RED",1.15,Vegetables and Vegetable Products,1,Low
"ONIONS, RED",0.96,Vegetables and Vegetable Products,1,Low
"ONIONS, RED",0.81,Vegetables and Vegetable Products,1,Low
"ONIONS, RED",0.72,Vegetables and Vegetable Products,1,Low
"ONIONS, RED",0.89,Vegetables and Vegetable Products,1,Low
"Onions, red, raw",0.94,Vegetables and Vegetable Products,1,Low
"ONIONS, YELLOW",0.88,Vegetables and Vegetable Products,1,Low
"ONIONS, YELLOW",0.93,Vegetables and Vegetable Products,1,Low
"ONIONS, YELLOW",0.7,Vegetables and Vegetable Products,1,Low
"ONIONS, YELLOW",0.83,Vegetables and Vegetable Products,1,Low
"ONIONS, YELLOW",0.93,Vegetables and Vegetable Products,1,Low
"ONIONS, YELLOW",0.72,Vegetables and Vegetable Products,1,Low
"Onions, yellow, raw",0.83,Vegetables and Vegetable Products,1,Low
"Bananas, overripe, raw",0.73,Fruits and Fruit Juices,1,Low
"Bananas, ripe and slightly ripe, raw",0.74,Fruits and Fruit Juices,1,Low
"Garlic, raw",6.62,Vegetables and Vegetable Products,1,Low
"Flour, soy, defatted",51.1,Legumes and Legume Products,0,Medium
"Flour, soy, full-fat",38.6,Legumes and Legume Products,0,Medium
"Flour, rice, brown",7.19,Cereal Grains and Pasta,1,Low
"Flour, rice, glutinous",6.69,Cereal Grains and Pasta,1,Low
"Flour, pastry, unenriched, unbleached",8.75,Cereal Grains and Pasta,1,Low
"Onions, white, raw",0.89,Vegetables and Vegetable Products,1,Low
"Bananas, overripe, raw",0.73,Fruits and Fruit Juices,1,Low
"Bananas, ripe and slightly ripe, raw",0.74,Fruits and Fruit Juices,1,Low
"Apples, red delicious, with skin, raw",0.19,Fruits and Fruit Juices,1,Low
"Apples, honeycrisp, with skin, raw",0.1,Fruits and Fruit Juices,1,Low
"Apples, granny smith, with skin, raw",0.27,Fruits and Fruit Juices,1,Low
"Apples, gala, with skin, raw",0.13,Fruits and Fruit Juices,1,Low
"Apples, fuji, with skin, raw",0.15,Fruits and Fruit Juices,1,Low
"Soy milk, unsweetened, plain, shelf stable",3.546875,Legumes and Legume Products,1,Low
"Almond milk, unsweetened, plain, shelf stable",0.5546875,Beverages,1,Low
"Apples, red delicious, with skin, raw",0.1875,Fruits and Fruit Juices,1,Low
"Apples, fuji, with skin, raw",0.1484375,Fruits and Fruit Juices,1,Low
"Apples, gala, with skin, raw",0.1328125,Fruits and Fruit Juices,1,Low
"Apples, granny smith, with skin, raw",0.265625,Fruits and Fruit Juices,1,Low
"Apples, honeycrisp, with skin, raw",0.1015625,Fruits and Fruit Juices,1,Low
"Mushroom, lion's mane",2.5,Vegetables and Vegetable Products,1,Low
"Mushroom, oyster",2.89875,Vegetables and Vegetable Products,1,Low
"Mushrooms, shiitake",2.414375,Vegetables and Vegetable Products,1,Low
"Mushrooms, white button",2.890625,Vegetables and Vegetable Products,1,Low
"Spinach, baby",2.851875,Vegetables and Vegetable Products,1,Low
"Spinach, mature",2.90625,Vegetables and Vegetable Products,1,Low
"Tomato, roma",0.695625,Vegetables and Vegetable Products,1,Low
"Mushroom, lion's mane",2.5,Vegetables and Vegetable Products,1,Low
"Mushroom, oyster",2.89875,Vegetables and Vegetable Products,1,Low
"Mushrooms, shiitake",2.414375,Vegetables and Vegetable Products,1,Low
"Mushrooms, white button",2.890625,Vegetables and Vegetable Products,1,Low
"Soy milk, unsweetened, plain, shelf stable",3.546875,Legumes and Legume Products,1,Low
"Almond milk, unsweetened, plain, shelf stable",0.5546875,Beverages,1,Low
"Spinach, baby",2.851875,Vegetables and Vegetable Products,1,Low
"Spinach, mature",2.90625,Vegetables and Vegetable Products,1,Low
"Tomato, roma",0.695625,Vegetables and Vegetable Products,1,Low
"Flour, 00",11.4,Cereal Grains and Pasta,1,Low
"Flour, spelt, whole grain",14.475,Cereal Grains and Pasta,0,Medium
"Flour, semolina, coarse and semi-coarse",11.73125,Cereal Grains and Pasta,1,Low
"Flour, semolina, fine",13.33125,Cereal Grains and Pasta,1,Low
"Apple juice, with added vitamin C, from concentrate, shelf stable",0.0859375,Fruits and Fruit Juices,1,Low
"Orange juice, no pulp, not fortified, from concentrate, refrigerated",0.734375,Fruits and Fruit Juices,1,Low
"Grape juice, purple, with added vitamin C, from concentrate, shelf stable",0.2578125,Fruits and Fruit Juices,1,Low
"Grape juice, white, with added vitamin C, from concentrate, shelf stable",0.09375,Fruits and Fruit Juices,1,Low
"Cranberry juice, not fortified, from concentrate, shelf stable",0.0,Fruits and Fruit Juices,1,Low
"Grapefruit juice, red, not fortified, not from concentrate, refrigerated",0.5703125,Fruits and Fruit Juices,1,Low
"Tomato juice, with added ingredients, from concentrate, shelf stable",0.859375,Vegetables and Vegetable Products,1,Low
